,0,1,2,3
315,167,13,330,44
316,162,12,279,35
317,194,10,336,38
318,161,6,313,45
319,171,8,248,16
320,165,11,347,47
321,192,15,321,35
322,155,7,309,40
323,173,12,289,29
324,164,8,335,47
325,187,11,355,49
326,187,15,329,38
327,171,9,295,31
328,180,7,337,51
329,184,10,322,41
330,179,9,310,36
331,155,6,307,49
332,193,17,344,45
333,185,9,385,64
334,188,20,273,14
335,164,14,269,31
336,160,9,289,32
337,154,6,276,33
338,182,15,233,7
339,165,9,326,42
340,198,10,372,56
341,169,11,324,44
342,152,8,224,21
343,143,8,271,36
344,188,10,361,54
345,143,8,268,30
346,165,12,322,44
347,170,7,367,58
348,177,11,282,28
349,183,12,294,31
350,147,8,254,31
351,146,9,248,29
352,154,9,251,28
353,149,15,279,37
354,155,9,386,71
355,174,13,323,44
356,172,17,300,38
357,192,11,313,39
358,195,13,317,26
359,175,10,275,21
360,155,8,267,28
361,148,13,248,20
362,158,10,256,26
363,193,11,372,55
364,147,5,233,23
365,162,6,291,41
366,154,15,218,12
367,160,15,259,14
368,173,12,299,36
369,157,8,298,44
370,159,7,263,27
371,187,11,310,28
372,152,7,284,41
373,180,14,284,19
374,160,17,238,22
375,169,7,353,58
376,154,13,263,24
377,201,23,301,21
378,181,10,302,34
379,166,9,283,39
380,166,10,275,30
381,186,12,337,46
382,166,8,266,27
383,167,8,342,63
384,194,13,352,43
385,160,7,292,36
386,184,10,332,38
387,140,8,226,24
388,161,7,264,22
389,142,11,229,23
390,181,16,297,22
391,182,14,360,42
392,147,15,253,32
393,141,9,257,33
394,153,6,297,56
395,191,18,295,26
396,135,13,215,23
397,173,16,237,10
398,170,13,298,35
399,187,7,321,40
400,176,11,292,34
401,186,11,332,39
402,166,9,283,37
403,162,10,243,24
404,173,6,322,45
405,168,20,262,17
406,165,9,326,49
407,154,7,250,26
408,196,12,326,37
409,147,9,268,26
410,186,10,290,29
411,182,9,335,43
412,172,10,302,30
413,182,12,247,12
414,194,14,330,34
415,150,15,259,38
416,147,10,262,39
417,180,9,287,27
418,175,8,372,65
419,181,9,325,43
420,192,8,365,54
421,160,14,261,26
422,175,9,348,49
423,180,10,380,60
424,153,9,259,26
425,141,6,264,41
426,154,10,297,43
427,166,15,325,46
428,142,12,242,26
429,176,7,350,48
430,170,8,276,26
431,180,8,298,26
432,141,13,239,31
433,146,9,239,26
434,176,11,276,28
435,184,10,283,25
436,201,8,349,41
437,157,6,272,34
438,176,8,301,39
439,198,18,301,22
440,165,9,275,32
441,144,9,222,19
442,196,13,299,23
443,189,9,343,45
444,151,8,255,21
445,189,8,317,30
446,176,11,305,36
447,172,10,272,21
448,167,13,254,16
449,197,15,267,11
450,159,12,248,24
451,185,8,324,39
452,165,9,242,17
453,147,10,228,13
454,148,10,224,21
455,146,7,251,28
456,146,11,259,31
457,173,16,286,29
458,162,8,266,30
459,167,14,272,24
460,147,8,239,21
461,174,10,343,47
462,160,7,284,31
463,144,10,218,20
464,162,9,249,23
465,184,11,285,17
466,162,9,331,55
467,158,8,299,40
468,165,9,328,51
469,135,10,206,13
470,177,11,258,18
471,185,11,296,26
472,186,11,303,34
473,180,12,271,16
474,154,8,246,22
475,171,10,282,25
476,197,12,296,29
477,153,9,242,18
478,140,7,248,31
479,160,7,317,46
480,156,9,251,15
481,144,8,266,38
482,162,8,285,40
483,145,8,262,36
484,168,8,288,33
485,193,10,301,28
486,191,11,338,44
487,152,12,237,22
488,149,10,297,49
489,146,5,275,42
490,176,7,334,49
491,173,17,301,34
492,162,8,270,27
493,154,7,381,65
494,145,8,276,39
495,180,9,316,34
496,178,11,309,36
497,162,8,285,36
498,165,9,322,46
499,167,9,346,57
500,150,6,309,43
501,137,7,251,33
502,142,8,258,34
503,182,11,287,24
504,175,10,315,45
505,185,13,300,31
506,174,11,321,46
507,193,14,271,15
508,150,15,224,17
509,136,7,262,36
510,195,11,307,23
511,143,13,204,11
512,172,16,279,27
513,188,10,335,44
514,193,10,336,41
515,181,12,354,55
516,187,14,306,33
517,167,8,294,41
518,187,11,268,17
519,156,17,253,25
520,139,10,240,33
521,153,7,271,29
522,173,14,315,44
523,170,9,302,33
524,180,10,338,44
525,145,7,219,22
526,192,18,282,12
527,140,9,237,24
528,174,12,334,47
529,193,12,261,13
530,197,19,348,38
531,145,13,229,21
532,143,9,248,25
533,144,13,251,25
534,159,11,263,24
535,156,7,273,30
536,153,8,259,23
537,156,14,294,35
538,188,16,311,28
539,165,10,289,28
540,164,10,315,47
541,195,11,329,37
542,184,11,320,46
543,191,14,269,20
544,148,7,270,35
545,161,17,246,21
546,163,7,288,35
547,191,16,292,22
548,149,11,280,39
549,145,7,316,53
550,180,13,252,16
551,149,12,234,25
552,176,11,342,52
553,179,11,267,23
554,160,10,256,29
555,156,8,310,45
556,176,9,274,20
557,170,13,312,43
558,181,9,324,38
559,140,13,213,15
560,149,17,215,13
561,200,10,315,33
562,177,11,335,53
563,179,13,253,18
564,196,15,274,11
565,200,17,279,18
566,155,11,217,10
567,185,9,297,31
568,175,10,270,22
569,183,9,307,34
570,177,9,298,31
571,148,10,298,43
572,184,14,320,35
573,149,8,239,26
574,164,5,324,48
575,188,8,301,29
576,184,11,358,54
577,145,8,241,33
578,148,9,319,60
579,154,7,303,50
580,187,9,327,36
581,150,16,222,10
582,162,8,302,42
583,154,10,274,35
584,196,12,319,24
585,143,12,221,16
586,201,19,377,49
587,171,12,273,33
588,178,11,316,39
589,149,7,250,25
590,172,14,274,16
591,177,15,292,36
592,164,9,264,26
593,140,8,260,35
594,172,16,284,30
595,155,9,312,50
596,195,9,341,38
597,178,10,298,35
598,197,10,323,33
599,175,9,340,45
600,165,7,335,44
601,175,8,277,33
602,170,12,257,19
603,144,9,300,50
604,143,12,271,37
605,159,12,237,12
606,156,8,293,39
607,195,22,311,27
608,178,16,298,36
609,172,9,329,47
610,183,10,348,46
611,161,10,273,31
612,199,8,290,25
613,173,9,347,51
614,142,12,250,34
615,160,14,281,42
616,179,9,274,26
617,176,13,322,42
618,147,7,237,22
619,176,10,337,39
620,145,10,295,46
621,153,10,253,23
622,166,11,302,36
623,161,12,272,36
624,159,9,298,38
625,187,11,316,37
626,195,15,319,32
627,191,11,307,34
628,169,19,298,28
629,192,11,304,28
630,177,7,288,31
631,192,10,338,38
632,191,12,292,18
633,178,15,299,40
634,142,9,201,10
635,182,12,317,37
636,164,8,276,26
637,193,14,273,14
638,197,11,315,25
639,162,8,253,20
640,198,16,324,35
641,155,8,272,38
642,154,7,291,37
643,163,12,263,23
644,199,7,308,24
645,152,8,243,25
646,162,8,239,17
647,190,19,304,17
648,194,12,356,47
649,185,8,317,38
650,161,8,250,16
651,173,9,306,39
652,174,11,296,29
653,142,14,241,28
654,186,7,321,40
655,152,9,270,34
656,165,10,258,22
657,181,13,317,35
658,152,9,279,32
659,146,9,224,18
660,188,8,312,36
661,181,8,259,14
662,193,18,252,11
663,179,12,310,36
664,172,13,275,26
665,159,9,244,21
666,184,11,300,33
667,167,10,318,52
668,187,14,305,28
669,141,9,212,13
670,197,9,305,21
671,189,12,310,32
672,185,11,285,18
673,150,21,201,8
674,198,9,326,30
675,193,8,354,39
676,196,16,284,19
677,185,16,299,34
678,192,9,315,33
679,179,8,268,23
680,150,18,221,15
681,176,9,266,20
682,180,8,276,21
683,182,9,321,32
684,181,5,309,25
685,196,12,305,29
686,139,7,206,22
687,189,10,308,33
688,170,10,266,23
689,195,12,309,21
690,190,11,304,32
691,181,12,306,31
692,141,7,194,10
693,184,10,291,31
694,198,9,317,32
695,192,13,351,47
696,194,12,327,28
697,197,10,309,32
698,200,10,280,14
699,163,12,275,32
700,196,9,317,40
701,180,11,254,17
702,151,9,254,27
703,167,10,288,31
704,179,9,299,32
705,180,11,303,30
706,174,8,274,30
707,171,18,261,24
708,174,11,285,24
709,192,9,336,39
710,177,13,330,51
711,176,14,265,20
712,170,24,218,9
713,156,12,207,10
714,149,13,210,11
715,185,35,276,22
716,179,9,288,28
717,180,10,292,22
718,153,14,205,14
719,192,21,261,10
720,191,15,276,19
721,152,10,251,21
722,189,15,302,29
723,151,11,286,31
724,181,11,298,30
725,194,14,297,17
726,155,9,278,36
727,138,7,262,36
728,183,9,274,21
729,197,27,303,22
730,177,13,314,38
731,158,15,245,20
732,167,13,281,34
733,185,11,302,34
734,159,9,275,39
735,188,10,317,34
736,148,10,229,22
737,159,9,266,30
738,149,7,209,13
739,186,10,374,64
740,168,10,271,31
741,185,10,320,43
742,182,9,274,27
743,193,19,254,13
744,163,12,279,25
745,146,9,229,18
746,201,16,332,33
747,175,10,275,32
748,164,13,250,21
749,141,12,221,20
750,181,13,294,31
751,162,13,255,21
752,180,11,288,24
753,195,12,331,39
754,192,12,309,30
755,201,23,284,17
756,142,15,200,10
757,177,16,289,29
758,154,8,237,16
759,181,7,324,45
760,140,9,249,36
761,196,18,255,6
762,179,8,280,20
763,172,9,284,28
764,140,9,211,13
765,146,14,241,32
766,195,10,289,20
767,195,10,327,35
768,193,15,324,38
769,171,10,324,44
770,162,10,280,30
771,165,12,260,24
772,180,7,298,30
773,195,10,284,19
774,180,10,292,29
775,198,13,351,37
776,197,9,319,30
777,183,17,253,14
778,140,16,237,35
779,159,11,325,52
780,176,10,304,32
781,140,18,184,5
782,185,15,251,12
783,151,17,235,20
784,159,13,234,16
785,171,9,274,22
786,169,12,267,22
787,135,7,203,19
788,191,15,274,24
789,154,7,259,28
790,143,7,213,18
791,172,10,294,32
792,179,16,233,9
793,167,7,261,27
794,173,12,292,30
795,166,8,286,37
796,143,10,252,27
797,185,11,312,33
798,156,12,312,49
799,176,11,295,33
800,189,13,309,34
801,196,20,302,33
802,192,23,269,10
803,153,13,214,14
804,151,11,269,35
805,166,10,281,28
806,193,29,268,11
807,182,17,270,15
808,192,21,249,6
809,153,11,206,6
810,186,21,258,9
811,156,8,250,24
812,171,10,280,30
813,153,18,216,17
814,142,10,240,27
815,190,11,339,47
816,177,12,274,26
817,175,8,255,19
818,189,8,304,31
819,171,10,331,46
820,145,13,253,27
821,157,10,301,41
822,191,17,268,15
823,143,11,215,12
824,144,10,248,31
825,180,19,257,13
826,198,19,303,26
827,196,14,276,16
828,178,13,299,32
829,186,9,294,29
830,158,8,237,24
831,193,11,340,42
832,198,21,277,21
833,172,19,261,13
834,156,17,231,13
835,199,23,260,9
836,169,16,219,5
837,175,13,230,11
838,163,9,249,20
839,190,15,258,15
840,140,9,225,22
841,164,16,238,16
842,151,8,257,23
843,155,18,233,21
844,193,9,307,34
845,184,6,269,23
846,150,19,224,13
847,151,7,234,21
848,189,9,304,31
849,192,9,347,49
850,157,12,302,41
851,172,10,301,45
852,200,12,327,30
853,176,5,345,52
854,183,19,258,24
855,140,9,215,18
856,199,14,354,39
857,172,9,339,48
858,162,29,186,0
859,174,27,243,23
860,153,21,193,3
861,170,28,204,4
862,196,10,284,20
863,190,20,234,3
864,190,11,261,19
865,168,11,288,38
866,187,11,265,16
867,173,12,289,28
868,161,12,253,23
869,196,15,307,31
870,190,10,304,29
871,154,9,254,26
872,184,19,265,17
873,173,9,253,23
874,189,7,285,26
875,189,9,259,15
876,176,7,272,25
877,175,16,236,10
878,167,16,233,7
879,198,10,343,38
880,199,9,312,25
881,199,17,281,18
882,179,7,276,21
883,193,10,323,34
884,176,9,263,17
885,192,8,285,29
886,169,9,288,35
887,198,8,270,12
888,183,10,294,27
889,188,13,280,22
890,200,12,381,57
891,166,8,320,52
892,200,14,310,26
893,200,6,286,23
894,150,17,228,20
895,176,18,245,12
896,172,16,239,14
897,200,9,336,35
898,153,8,275,32
899,183,8,334,50
900,198,13,350,44
901,185,14,310,36
902,200,12,369,53
903,183,10,302,27
904,183,15,272,20
905,198,12,337,43
906,167,7,331,50
907,190,8,310,26
908,205,11,288,21
909,153,10,260,31
910,179,9,330,46
911,180,9,261,20
912,198,12,307,27
913,193,14,255,10
914,199,11,308,33
915,185,10,244,12
916,189,17,279,19
917,195,16,270,6
918,195,13,380,55
919,174,10,253,20
920,167,19,234,10
921,153,6,267,36
922,168,22,229,10
923,177,11,244,12
924,199,29,282,13
925,179,16,247,12
926,188,8,277,21
927,186,23,256,6
928,200,17,285,19
929,141,25,189,13
930,161,11,248,21
931,198,22,282,13
932,168,22,231,15
933,186,18,249,19
934,191,19,236,3
935,191,8,334,36
936,195,8,352,46
937,191,11,299,27
938,162,15,209,8
939,182,11,340,50
940,182,13,311,35
941,191,21,290,25
942,183,10,325,39
943,200,22,281,11
944,155,6,245,23
945,196,14,303,23
946,176,13,243,15
947,170,21,226,13
948,193,10,306,29
949,170,23,315,39
950,177,14,294,34
951,146,13,230,25
952,178,15,302,37
953,167,14,307,38
954,192,13,315,34
955,184,13,278,23
956,167,13,300,36
957,196,15,333,39
958,197,16,325,32
959,190,13,286,19
960,178,16,248,13
961,193,10,317,38
962,187,23,269,18
963,154,16,206,8
964,193,21,249,15
965,184,15,315,44
966,159,8,242,16
967,151,8,237,22
968,172,25,253,16
969,173,15,275,27
970,171,13,285,28
971,190,10,299,32
972,196,14,296,28
973,182,10,286,33
974,159,16,222,19
975,181,16,247,17
976,198,10,342,41
977,168,21,235,9
978,177,12,326,44
979,145,16,199,11
980,158,16,210,8
981,165,13,233,16
982,179,25,237,10
983,195,24,296,26
984,202,23,292,14
985,177,15,220,11
986,198,25,271,5
987,166,11,264,25
988,191,20,266,16
989,171,16,242,13
990,149,13,169,3
991,194,28,263,6
992,179,11,311,31
993,185,20,251,7
994,159,24,198,6
995,161,11,229,14
996,167,14,236,13
997,163,9,234,17
998,200,7,324,33
999,153,9,243,21
1000,194,22,255,12
1001,191,22,259,6
1002,192,33,248,10
1003,198,15,253,9
1004,190,24,234,6
1005,153,18,196,8
1006,155,15,222,13
1007,147,20,185,3
1008,180,12,324,42
1009,185,20,274,15
1010,190,22,276,21
1011,189,22,245,11
1012,185,25,245,12
1013,196,29,289,13
1014,156,19,198,6
1015,170,17,229,11
1016,169,21,241,15
1017,198,19,270,12
1018,198,11,295,25
1019,199,9,352,43
1020,185,11,332,41
1021,179,11,271,20
1022,183,20,269,16
1023,154,7,262,28
1024,188,11,293,22
1025,152,18,190,5
1026,140,18,184,5
1027,193,18,267,21
1028,191,16,264,9
1029,199,16,268,4
1030,193,13,277,13
1031,166,13,238,12
1032,194,16,258,11
1033,183,12,302,34
1034,180,10,274,22
1035,198,15,274,16
1036,192,12,274,16
1037,180,17,254,23
1038,200,25,257,6
1039,143,19,196,4
1040,176,25,228,9
1041,188,10,327,39
1042,172,16,230,13
1043,200,14,285,25
1044,173,9,319,41
1045,165,17,243,12
1046,177,17,262,20
1047,154,19,222,10
1048,200,22,260,11
1049,194,17,270,19
1050,195,18,267,12
1051,200,16,281,17
1052,183,12,243,10
1053,172,18,248,14
1054,155,13,211,7
1055,163,10,267,34
1056,193,17,266,10
1057,193,20,238,5
1058,197,21,266,10
1059,197,15,263,15
1060,153,15,215,14
1061,169,6,269,25
1062,190,19,252,18
1063,187,19,265,19
1064,200,19,255,8
1065,199,20,294,30
1066,195,21,295,20
1067,195,17,275,16
1068,197,11,241,5
1069,161,21,260,20
1070,151,18,196,10
1071,191,20,252,9
1072,178,14,233,8
1073,191,14,289,24
1074,177,10,267,28
1075,188,22,217,4
1076,167,12,249,19
1077,152,10,290,38
1078,157,10,278,29
1079,156,10,299,39
1080,152,7,229,16
1081,161,7,312,45
1082,182,12,238,10
1083,179,12,271,22
1084,160,16,201,3
1085,166,7,288,35
1086,194,25,239,6
1087,190,11,266,17
1088,146,25,187,2
1089,192,11,306,27
1090,149,11,269,30
1091,192,10,291,28
1092,181,16,242,10
1093,154,11,211,6
1094,165,21,291,39
1095,201,18,323,34
1096,172,12,232,16
1097,197,11,305,26
1098,190,14,386,65
1099,146,12,212,20
1100,197,8,294,20
1101,168,9,230,14
1102,184,11,286,28
1103,168,6,243,23
1104,177,10,237,9
1105,181,8,307,41
1106,167,8,216,6
1107,184,9,315,42
1108,177,7,260,20
1109,155,15,249,26
1110,186,14,273,19
1111,194,15,287,23
1112,181,12,262,17
1113,194,11,310,28
1114,195,6,335,38
1115,171,8,337,47
1116,176,7,266,21
1117,196,9,332,37
1118,165,10,251,18
1119,183,26,263,19
1120,178,13,244,10
1121,156,10,255,21
1122,192,12,299,29
1123,147,9,180,3
1124,190,7,274,20
1125,166,8,278,33
1126,190,8,317,35
1127,194,16,252,3
1128,195,10,317,33
1129,173,13,253,16
1130,188,11,320,35
1131,162,10,241,16
1132,181,14,284,24
1133,192,14,256,10
1134,200,11,328,35
1135,161,9,273,33
1136,193,8,271,11
1137,171,16,241,15
1138,166,8,244,16
1139,144,6,211,14
1140,197,6,293,18
1141,168,9,233,11
1142,193,8,295,24
1143,188,8,278,21
1144,180,8,235,10
1145,200,15,292,21
1146,157,26,211,9
1147,165,10,232,21
1148,193,11,258,10
1149,198,10,258,12
1150,152,10,199,12
1151,199,11,260,8
1152,196,11,282,15
1153,176,12,257,22
1154,195,17,264,16
1155,178,7,261,19
1156,174,10,226,9
1157,153,9,231,19
1158,153,6,262,31
1159,175,12,261,19
1160,187,6,318,42
1161,148,7,238,30
1162,163,7,216,11
1163,159,9,273,40
1164,170,12,237,11
1165,169,13,229,14
1166,200,8,328,32
1167,186,3,345,48
1168,199,11,304,29
1169,179,11,255,12
1170,191,14,294,20
1171,172,7,219,10
1172,192,13,273,18
1173,194,13,306,32
1174,181,8,300,33
1175,178,8,248,13
1176,185,16,263,13
1177,191,13,259,9
1178,148,10,235,25
1179,186,15,230,9
1180,170,6,227,10
1181,156,8,249,29
1182,149,6,232,22
1183,184,9,281,24
1184,193,9,296,22
1185,173,8,255,22
1186,156,7,235,22
1187,155,9,242,19
1188,190,10,268,19
1189,173,6,250,22
1190,172,7,283,34
1191,185,10,278,20
1192,194,13,289,28
1193,156,7,258,30
1194,187,13,280,25
1195,186,11,291,26
1196,171,11,241,20
1197,190,11,358,51
1198,179,7,296,38
1199,191,11,321,36
1200,170,12,318,43
1201,166,7,277,30
1202,186,7,300,29
1203,146,7,232,25
1204,200,7,361,52
1205,182,11,290,24
1206,175,12,313,38
1207,197,9,351,43
1208,188,9,269,19
1209,172,8,289,37
1210,145,6,206,9
1211,176,12,239,8
1212,167,10,239,16
1213,183,12,254,14
1214,185,7,271,19
1215,170,6,243,16
1216,187,9,280,28
1217,182,10,308,35
1218,177,13,291,35
1219,168,7,266,24
1220,178,4,252,14
1221,168,7,233,16
1222,150,8,219,18
1223,178,10,271,27
1224,167,4,238,17
1225,199,8,266,14
1226,174,7,229,14
1227,200,6,258,11
1228,172,4,216,5
1229,175,7,224,10
1230,164,7,225,11
1231,177,7,227,6
1232,198,7,262,7
1233,195,8,240,10
1234,192,9,226,1
1235,150,8,229,14
1236,159,9,223,12
1237,183,5,228,9
1238,177,5,265,28
1239,194,8,286,24
1240,144,7,193,9
1241,154,7,218,13
1242,185,12,280,24
1243,152,6,228,15
1244,182,15,230,4
1245,144,5,230,23
1246,160,9,241,18
1247,195,10,295,28
1248,173,9,276,26
1249,197,9,309,31
1250,191,6,301,31
1251,193,3,322,35
1252,157,7,227,15
1253,180,6,258,21
1254,168,6,236,12
1255,161,7,224,15
1256,154,5,234,20
1257,195,7,284,19
1258,155,9,207,8
1259,183,15,251,18
1260,176,9,291,33
1261,193,13,270,16
1262,193,6,314,38
1263,159,7,239,20
1264,174,11,243,15
1265,156,9,235,13
1266,148,8,224,19
1267,189,9,283,24
1268,193,8,266,16
1269,186,9,265,23
1270,200,11,309,28
1271,171,8,296,37
1272,197,13,268,12
1273,178,10,245,9
1274,150,7,224,24
1275,147,12,209,15
1276,195,13,347,52
1277,193,6,291,23
1278,192,5,307,34
1279,192,6,310,30
1280,151,5,226,22
1281,165,7,299,37
1282,177,12,250,18
1283,168,7,259,25
1284,145,9,207,14
1285,164,7,241,20
1286,199,10,366,49
1287,163,12,330,50
1288,157,8,278,34
1289,161,5,261,28
1290,173,11,294,31
1291,173,8,280,28
1292,194,7,307,27
1293,179,6,249,6
1294,164,6,283,33
1295,190,10,324,35
1296,142,6,229,17
1297,156,10,213,10
1298,181,7,282,24
1299,187,8,318,39
1300,154,6,227,18
1301,195,10,296,30
1302,179,10,271,25
1303,191,7,277,20
1304,187,10,308,30
1305,150,9,277,39
1306,157,11,233,20
1307,175,9,272,25
1308,199,8,324,36
1309,155,6,228,21
1310,171,6,252,20
1311,157,6,267,31
1312,171,6,254,14
1313,181,10,278,27
1314,188,8,329,42
1315,190,6,281,20
1316,162,8,262,32
1317,187,9,317,33
1318,151,7,234,22
1319,181,3,267,21
1320,176,8,306,37
1321,145,13,221,21
1322,182,12,281,30
1323,186,13,332,43
1324,194,13,331,43
1325,177,21,248,18
1326,174,14,248,22
1327,192,13,282,25
1328,185,12,240,12
1329,161,13,243,20
1330,198,10,318,36
1331,191,11,247,7
1332,189,9,276,18
1333,161,8,249,22
1334,158,6,259,26
1335,189,9,244,9
1336,154,7,247,24
1337,151,9,255,26
1338,144,6,234,27
1339,190,18,340,47
1340,173,5,288,32
1341,173,7,302,38
1342,189,5,303,31
1343,148,6,248,36
1344,186,10,293,29
1345,180,15,314,35
1346,189,10,340,43
1347,200,11,362,53
1348,174,7,256,16
1349,146,6,238,25
1350,189,7,348,45
1351,177,7,304,40
1352,141,8,227,18
1353,199,9,320,29
1354,185,11,299,30
1355,185,7,298,29
1356,146,4,209,16
1357,190,8,288,26
1358,157,5,248,25
1359,163,7,240,19
1360,179,9,282,27
1361,171,8,246,20
