,Sentences,Words,Complex_word_count,Syllable_count,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
77,6,176,14,261,15,22,13,17,11,15,0,31,1,3,18,1,23,4,0,25,0
78,6,163,19,258,15,22,10,8,5,22,0,35,2,5,8,6,16,4,0,21,0
79,6,175,17,246,10,26,10,11,5,24,0,36,2,5,18,2,23,4,0,22,0
80,8,184,9,231,10,17,13,18,3,17,2,21,0,5,34,9,39,6,0,29,0
81,7,171,28,280,9,19,14,10,11,14,0,22,1,5,21,9,23,5,0,31,0
82,4,180,20,269,10,24,12,13,7,18,0,36,1,4,20,7,32,3,0,25,0
83,8,167,7,235,10,20,14,7,9,20,2,35,2,5,14,6,29,3,0,20,0
84,3,144,6,205,20,25,9,5,6,23,0,33,0,0,8,3,18,2,0,10,0
85,5,159,8,226,12,24,16,6,9,20,0,38,0,3,13,1,25,2,0,15,0
86,5,157,15,233,13,18,12,6,7,16,0,28,1,7,16,12,18,3,0,18,0
87,4,172,11,238,18,14,13,5,14,14,0,35,0,4,22,4,29,5,0,24,0
88,7,178,10,248,18,21,11,12,9,15,1,29,2,5,25,3,23,6,0,21,0
89,9,177,10,238,9,12,10,13,13,8,0,28,0,14,29,6,23,6,0,29,0
90,6,162,16,233,12,19,4,18,10,16,0,31,3,5,14,14,21,3,0,13,0
91,5,160,19,235,8,19,6,10,11,18,0,33,2,1,25,5,16,4,0,18,0
92,5,190,19,281,10,29,13,15,8,27,0,40,0,5,20,3,21,4,0,16,0
93,8,192,23,307,15,22,13,13,11,15,0,30,3,6,26,3,21,5,0,30,0
94,11,182,11,244,10,25,13,9,10,23,0,36,4,1,19,5,23,5,0,22,0
95,10,189,30,285,9,18,11,23,5,20,0,34,1,8,30,1,24,5,0,24,0
96,8,154,10,210,9,27,8,7,6,20,0,39,0,0,15,4,21,1,0,18,0
97,6,161,7,211,13,20,4,7,6,19,0,32,1,3,26,3,25,5,0,22,0
98,10,180,8,244,28,21,15,5,8,19,1,30,2,3,19,1,34,4,0,24,0
99,2,143,7,186,3,17,6,7,8,17,0,22,1,4,23,2,19,6,0,27,0
100,7,174,15,236,9,15,6,12,5,21,0,31,1,10,26,0,31,8,0,30,0
101,7,142,14,213,13,19,6,4,5,18,0,34,2,3,15,0,24,5,0,18,0
102,9,169,14,237,12,23,7,10,6,25,0,34,2,6,17,0,19,5,0,22,0
103,9,165,11,236,17,12,7,13,11,18,0,25,0,5,23,9,22,5,0,20,0
104,10,145,10,194,4,16,7,11,6,13,0,20,2,9,21,11,23,3,0,22,0
105,5,145,17,203,13,15,13,9,5,12,0,18,0,7,22,4,17,7,0,20,0
106,4,142,6,192,5,18,6,4,12,26,1,32,1,0,8,2,29,4,0,23,0
107,6,177,4,233,7,20,9,8,9,24,0,35,1,3,24,1,19,10,0,26,0
108,3,148,2,196,11,23,3,3,11,26,0,37,3,0,10,1,15,3,0,17,0
109,5,150,8,210,6,16,13,8,15,15,0,29,0,3,19,0,21,5,0,21,0
110,9,154,7,197,9,11,12,12,10,12,0,21,3,4,26,6,26,4,0,24,0
111,9,177,8,230,13,17,12,8,12,15,0,27,2,8,12,25,23,2,0,24,0
112,11,170,6,225,21,15,10,8,11,16,0,29,1,3,24,2,27,4,0,26,0
113,10,152,8,210,11,15,10,5,7,19,1,35,0,4,13,7,28,4,0,21,0
114,5,178,14,248,14,22,10,7,10,23,0,33,1,3,18,7,28,8,0,22,0
115,6,179,20,264,5,18,11,9,9,27,0,41,0,4,16,3,27,8,0,28,0
116,7,161,15,234,10,20,5,10,6,20,0,36,0,4,22,6,20,4,0,18,0
117,11,200,19,301,21,30,13,15,8,25,0,36,4,3,11,8,35,2,0,24,0
118,10,187,18,273,19,23,12,7,6,16,0,44,8,5,16,7,26,2,0,22,0
119,9,174,25,274,10,15,10,9,14,20,0,30,0,4,17,14,24,3,0,28,0
120,5,162,21,261,9,28,6,10,10,15,0,38,2,3,17,2,15,2,0,20,0
121,5,155,7,217,10,19,7,3,7,19,0,29,1,3,19,2,22,7,0,29,0
122,6,146,29,246,12,25,5,4,6,23,0,31,2,2,5,15,28,1,0,15,0
123,8,176,9,244,12,23,13,2,11,18,1,34,4,7,13,14,35,3,0,21,0
124,8,189,17,278,9,24,6,14,13,28,0,41,5,3,11,15,27,2,0,18,0
125,12,185,8,252,10,19,9,9,10,26,1,27,1,6,17,7,41,4,0,39,0
126,6,173,21,262,12,21,11,17,7,27,0,31,0,2,9,12,22,4,0,20,0
127,9,199,22,300,16,29,11,15,7,17,0,33,1,12,15,15,28,6,0,22,0
128,8,162,16,238,12,19,6,7,9,14,0,27,2,3,28,8,24,5,0,22,0
129,8,171,12,235,14,21,5,8,5,17,0,31,1,6,28,4,22,6,0,25,0
130,11,204,14,277,17,26,8,13,3,33,0,37,5,5,18,10,24,5,0,24,0
131,8,157,20,236,13,22,9,12,5,16,0,19,0,5,12,23,23,6,0,15,0
132,9,177,26,278,8,26,9,8,8,25,0,42,2,6,11,10,20,4,0,18,0
133,11,172,21,258,10,19,10,14,8,14,0,27,3,5,20,17,31,6,0,19,0
134,10,145,19,235,13,12,11,5,8,15,0,28,2,1,18,0,20,7,0,25,0
135,14,195,15,277,11,23,9,16,6,30,0,42,1,4,23,2,28,2,0,26,0
136,5,143,6,186,12,22,11,3,10,23,0,32,0,2,10,0,10,1,0,17,0
137,5,145,15,214,10,10,8,19,6,17,0,21,1,6,18,6,21,2,0,21,0
138,11,169,17,242,13,12,15,12,7,13,1,15,1,8,27,14,35,5,0,26,0
139,7,165,21,243,12,18,12,10,8,16,0,26,0,6,21,8,18,4,0,24,0
140,8,191,11,258,12,19,10,19,9,17,0,22,2,6,30,14,26,7,0,24,0
141,7,185,20,270,13,24,10,12,6,24,0,34,1,4,16,8,17,9,0,24,0
142,9,153,18,227,10,15,16,16,6,15,0,26,0,2,21,6,16,3,0,17,0
143,9,204,19,286,15,19,8,19,7,11,3,32,1,11,30,12,42,9,0,27,0
144,7,199,22,295,8,22,11,12,8,22,1,29,2,9,23,8,41,9,0,35,0
145,4,148,15,224,9,18,10,6,10,12,0,26,7,4,10,7,22,6,0,23,0
146,8,170,19,249,11,22,7,11,2,21,0,33,2,10,12,7,20,8,0,24,0
147,5,201,8,264,9,19,14,14,16,10,2,27,3,4,34,12,45,5,0,32,0
148,12,187,21,289,14,17,16,16,10,15,0,27,2,5,23,5,34,11,0,26,0
149,3,173,17,261,12,18,7,10,6,15,0,30,0,9,24,6,29,7,0,29,0
150,5,148,12,216,11,21,10,8,2,22,0,34,1,4,13,3,15,5,0,14,0
151,5,163,15,228,16,18,14,14,8,18,0,26,1,4,21,0,18,5,0,18,0
152,11,168,24,264,18,23,8,12,5,18,0,31,0,6,18,5,30,2,0,22,0
153,6,151,23,234,10,21,8,10,9,24,0,39,2,1,11,5,20,1,0,10,0
154,7,200,19,284,14,25,16,15,10,13,0,29,2,7,33,3,20,8,0,25,0
155,13,192,14,269,7,19,16,16,11,19,0,33,1,6,28,2,33,4,0,30,0
156,12,173,8,236,3,21,10,10,7,15,1,21,4,5,31,0,31,8,0,37,0
157,8,182,14,253,6,21,7,6,11,26,0,38,3,5,20,8,27,3,0,28,0
158,7,182,14,260,8,19,10,15,10,27,0,26,1,3,27,8,32,3,0,25,0
159,6,175,2,208,15,14,16,11,11,17,3,27,2,4,24,0,34,8,0,23,0
160,9,166,16,248,3,17,8,9,12,24,0,33,1,2,18,8,29,4,0,27,0
161,11,188,9,259,10,20,12,17,8,14,1,24,2,5,31,15,40,4,0,25,0
162,10,175,13,227,7,18,10,4,14,24,1,36,1,4,21,0,31,5,0,30,0
163,5,139,8,182,11,18,7,7,7,13,0,17,2,8,16,13,25,1,0,19,0
164,5,165,8,212,5,20,8,9,8,18,0,26,1,5,26,2,26,6,0,31,0
165,13,199,18,274,10,24,9,12,8,18,0,33,8,4,33,1,32,7,0,32,0
166,5,143,22,220,12,14,10,6,9,7,0,24,2,5,20,7,25,3,0,24,0
167,9,193,22,278,20,25,18,12,14,17,1,33,0,2,27,0,33,3,0,21,0
168,5,155,13,235,19,14,4,6,14,18,0,40,1,1,5,6,18,7,0,20,0
169,6,151,7,207,6,13,9,7,5,15,1,26,2,5,21,8,34,8,0,25,0
170,9,156,7,209,8,21,4,6,13,19,0,26,1,1,13,11,26,7,0,26,0
171,5,164,17,248,17,18,11,5,9,15,0,29,1,4,22,5,24,5,0,23,0
172,6,172,17,252,13,24,13,11,10,12,0,30,0,1,28,4,25,8,0,18,0
173,10,180,12,255,9,21,16,7,6,15,0,37,6,3,20,5,19,5,0,30,0
174,8,188,18,261,11,16,13,12,7,14,0,33,1,8,26,14,23,6,0,27,0
175,12,198,5,274,18,23,3,17,4,32,0,48,4,4,10,12,34,2,0,21,0
176,7,200,15,280,15,22,7,19,9,24,1,30,0,3,26,17,32,4,0,23,0
177,13,171,17,245,14,17,11,10,6,20,2,41,0,4,19,7,52,1,0,19,0
178,8,153,14,224,15,16,13,8,4,25,0,30,2,3,12,3,19,3,0,19,0
179,5,141,14,216,11,15,3,9,6,19,0,32,1,1,9,9,15,7,0,19,0
180,5,177,10,250,16,26,9,1,9,23,0,45,0,1,19,4,24,3,0,21,0
181,5,166,2,211,5,19,7,8,10,22,0,32,4,0,21,5,30,4,0,29,0
182,9,184,33,295,16,25,8,7,11,17,0,41,3,3,19,5,20,6,0,23,0
183,8,188,11,245,16,16,10,8,10,23,1,34,0,7,22,2,43,8,0,31,0
184,6,194,11,259,19,14,12,14,11,20,0,34,0,9,27,0,13,10,0,24,0
185,10,195,8,248,18,20,18,13,10,22,1,31,0,4,19,8,30,5,0,26,0
186,7,171,10,234,18,26,5,12,7,19,0,30,1,4,19,5,21,6,0,19,0
187,8,153,4,204,13,20,13,4,8,18,0,25,1,2,20,4,20,5,0,20,0
188,8,160,10,207,12,22,4,11,9,21,0,30,1,0,27,0,26,3,0,20,0
189,9,179,3,217,7,20,9,11,9,23,0,32,0,3,21,12,29,6,0,26,0
190,6,154,9,213,13,18,11,12,7,18,0,29,2,2,15,2,20,5,0,20,0
191,7,154,12,209,11,12,7,7,17,15,1,33,0,2,22,1,25,4,0,22,0
192,8,188,35,302,15,27,7,8,11,26,0,39,8,2,6,20,31,1,0,18,0
193,6,150,12,218,10,16,12,2,8,24,0,36,0,4,12,2,18,2,0,22,0
194,7,195,37,322,18,29,13,9,9,17,0,42,2,7,20,5,21,5,0,19,0
195,10,181,14,253,6,23,9,9,6,20,4,26,3,5,23,14,56,5,0,28,0
196,9,179,16,253,19,25,13,10,11,29,0,35,0,3,14,2,22,2,0,16,0
197,5,166,20,253,22,17,9,9,11,8,1,20,0,6,20,10,18,10,0,23,0
198,6,167,14,239,8,22,13,5,12,18,0,30,1,3,23,6,23,5,0,21,0
199,7,149,5,188,1,10,18,18,10,6,2,14,0,6,29,6,22,6,0,23,0
200,5,145,16,210,5,17,14,10,6,9,0,23,2,6,20,2,13,9,0,22,0
201,8,170,16,246,9,25,6,6,9,20,0,40,0,3,20,3,25,5,0,24,0
202,7,196,13,269,13,30,11,11,8,24,0,43,1,8,15,1,24,6,0,25,0
203,8,183,15,259,13,28,10,11,9,28,0,39,1,6,17,0,24,2,0,19,0
204,6,147,10,205,13,18,5,4,5,15,0,33,2,7,15,4,17,7,0,19,0
205,5,191,16,278,17,28,3,12,15,21,0,43,2,2,19,6,28,4,0,19,0
206,8,191,25,280,9,31,13,9,4,19,0,30,3,5,25,12,26,7,0,24,0
207,5,158,9,220,12,26,9,9,6,21,1,30,3,1,15,3,18,5,0,17,0
208,2,169,28,270,18,27,9,5,15,17,0,35,0,1,20,4,21,5,0,13,0
209,8,186,26,303,22,31,10,12,7,12,1,36,3,5,17,9,31,7,0,14,0
210,5,146,11,206,6,21,10,6,5,17,0,29,3,4,19,0,15,6,0,20,0
211,5,152,17,228,13,25,9,10,14,8,0,21,4,2,23,8,17,2,0,13,0
212,7,187,34,306,12,25,8,17,8,23,0,37,1,3,23,3,27,5,0,22,0
213,6,187,26,280,12,28,5,13,4,20,0,29,3,5,23,9,19,9,0,27,0
214,8,144,7,189,5,21,7,5,7,11,0,23,0,5,24,8,21,5,0,23,0
215,9,181,6,211,10,22,10,13,10,9,0,33,2,2,34,5,32,5,0,26,0
216,8,163,7,202,6,15,8,6,9,10,0,21,2,3,35,10,28,8,0,30,0
217,7,170,14,237,4,25,10,4,11,9,0,27,1,6,24,15,24,4,0,30,0
218,5,190,16,249,8,20,8,12,16,14,0,25,3,9,21,21,26,8,0,25,0
219,7,178,10,239,13,25,7,9,6,18,0,31,0,5,26,4,19,6,0,28,0
220,9,198,19,303,9,22,14,6,14,25,0,34,3,10,15,10,30,2,0,34,0
221,12,199,9,280,7,25,12,10,9,15,0,28,4,1,32,19,38,4,0,33,0
222,11,191,8,248,11,20,11,7,12,16,1,34,4,4,26,12,40,1,0,32,0
223,7,196,15,258,6,23,12,12,13,15,0,34,2,7,29,8,24,6,0,29,0
224,6,170,10,231,7,17,8,8,11,20,0,31,1,4,23,6,23,5,0,29,0
225,9,150,7,194,6,13,14,10,2,13,0,22,2,8,23,12,23,2,0,23,0
226,4,186,16,279,17,28,7,2,12,22,0,34,0,1,20,10,23,7,0,26,0
227,19,183,3,218,10,18,6,9,12,23,0,32,2,3,32,5,28,2,1,28,0
228,7,201,14,285,29,18,13,15,21,12,0,45,0,2,20,0,25,6,0,20,0
229,5,183,15,270,20,23,10,9,9,21,0,36,0,6,18,3,22,5,0,23,0
230,4,175,21,259,9,21,12,15,12,14,1,25,0,4,17,14,41,7,0,24,0
231,13,205,22,308,8,16,11,23,9,17,0,32,1,10,35,6,46,5,0,32,0
232,5,184,13,248,17,19,17,15,10,18,0,20,2,6,24,10,30,9,0,17,0
233,13,201,9,261,17,21,19,17,7,15,3,29,2,4,34,8,55,2,0,23,0
234,9,193,23,278,15,14,9,22,7,24,0,33,1,7,16,12,20,7,0,26,0
235,8,188,11,250,13,22,8,4,8,16,0,31,1,10,25,8,27,5,0,37,0
236,9,199,15,292,14,35,6,11,8,33,0,48,6,3,11,0,26,1,0,23,0
237,6,161,12,241,13,22,11,13,10,18,0,38,2,3,9,2,28,5,0,15,0
238,9,184,20,283,11,31,5,6,9,20,0,42,2,2,11,12,31,5,0,28,0
239,7,180,14,260,15,16,16,11,13,11,0,25,2,8,28,5,30,4,0,26,0
240,11,163,6,219,10,13,24,10,7,10,0,17,1,1,37,0,43,7,0,26,0
241,10,175,12,247,12,24,9,6,8,21,0,33,1,4,25,2,22,2,0,28,0
242,11,195,19,274,18,17,21,16,6,18,0,29,0,8,28,6,28,5,0,23,0
243,7,163,5,220,4,20,8,8,8,24,1,34,1,3,23,4,24,4,0,21,0
244,8,179,20,263,5,12,10,12,9,16,0,29,1,9,32,2,28,9,0,33,0
245,8,154,4,191,4,19,7,8,9,16,0,23,8,2,26,2,18,5,0,25,0
246,7,167,11,225,14,14,17,7,9,18,0,28,0,5,19,9,28,4,0,23,0
247,7,156,2,191,5,16,7,5,9,20,0,24,0,2,28,3,17,7,0,30,0
248,10,171,12,242,5,21,12,13,8,18,0,27,1,6,20,4,35,5,0,31,0
249,8,157,13,255,16,21,7,8,6,22,0,32,2,3,2,28,21,1,0,9,0
250,19,190,37,327,11,22,4,7,2,21,0,16,10,5,11,54,27,0,0,27,0
251,11,157,18,244,20,18,11,10,7,10,0,19,3,7,12,16,14,3,0,21,0
252,7,199,39,349,18,23,3,9,13,20,0,53,2,5,22,1,21,5,0,25,0
253,6,144,48,304,18,14,8,6,9,4,0,69,0,1,2,0,30,1,0,12,0
254,9,173,37,304,17,24,5,18,9,8,0,49,3,2,2,14,19,2,1,19,0
255,10,162,44,314,17,28,5,12,8,15,0,46,1,6,6,4,25,1,0,13,0
256,9,193,44,371,25,20,10,10,9,16,0,46,1,7,6,6,27,6,0,31,0
257,12,198,20,308,19,32,12,11,7,22,0,45,5,2,9,4,21,5,3,22,0
258,8,157,35,297,15,22,5,8,6,17,0,40,3,0,9,11,15,2,0,19,0
259,7,157,33,279,23,21,5,6,1,22,0,44,0,3,8,1,14,4,0,19,0
260,7,175,35,302,8,23,11,14,10,22,0,51,0,6,5,0,16,4,0,21,0
261,14,153,18,246,8,18,4,11,10,7,0,66,3,1,4,2,33,0,2,17,0
262,14,164,32,287,18,15,7,11,6,13,0,54,3,4,7,6,33,0,1,19,0
263,8,183,34,324,18,27,1,6,3,36,0,61,3,2,3,1,13,4,0,18,0
264,7,184,38,318,15,33,5,7,4,26,0,24,6,1,10,34,23,2,0,17,0
265,7,183,49,358,23,24,9,8,8,14,0,66,0,5,6,1,18,0,0,19,0
266,8,193,40,349,24,24,10,16,6,19,0,61,0,2,8,0,30,5,1,17,0
267,8,158,38,292,21,23,3,7,7,13,0,48,4,2,2,8,24,0,1,18,1
268,7,154,26,269,15,20,5,5,6,21,0,34,1,1,2,22,20,8,0,14,0
269,7,178,24,275,12,18,5,6,8,15,0,41,1,10,20,0,20,8,0,33,1
270,7,158,24,247,6,35,5,8,1,33,0,44,0,2,6,2,17,1,0,15,0
271,13,174,5,223,18,17,6,12,6,21,0,31,0,13,14,0,16,7,0,29,0
272,5,155,30,272,29,24,3,4,9,19,0,21,2,3,8,20,24,2,0,11,0
273,7,188,45,354,19,28,9,11,8,29,0,45,0,2,6,12,36,2,0,17,0
274,20,188,24,306,20,14,13,17,3,12,0,47,2,6,20,1,26,7,1,25,0
275,12,185,32,323,17,26,9,11,8,15,0,55,4,0,6,2,26,6,4,22,0
276,8,173,47,329,15,30,7,7,12,9,0,67,3,2,4,5,21,2,0,10,0
277,7,160,43,307,14,22,2,5,4,19,0,61,0,5,3,1,24,3,0,21,0
278,8,165,35,300,14,25,16,7,8,9,0,27,8,3,7,16,21,5,0,20,0
279,9,146,31,262,8,22,5,2,4,17,0,49,6,3,7,0,22,2,0,21,0
280,8,184,26,305,17,24,10,13,6,20,0,59,0,5,6,0,23,2,0,22,0
281,12,156,24,231,4,17,5,14,3,30,0,50,1,2,5,4,19,4,0,17,0
282,5,159,33,281,26,24,4,6,5,19,0,27,4,1,3,22,19,1,0,17,0
283,7,157,20,251,7,20,9,4,6,18,0,15,4,4,10,40,26,1,0,19,0
284,11,160,26,248,10,18,9,10,5,20,0,42,3,2,6,13,31,2,0,20,0
285,15,149,12,209,10,26,4,4,3,18,0,22,1,2,9,31,25,0,0,19,0
286,11,184,20,255,17,17,10,20,2,14,0,22,0,8,27,4,26,13,0,28,2
287,7,180,41,331,20,28,7,8,8,29,0,51,1,0,7,1,19,2,0,18,0
288,9,169,19,258,15,20,1,5,5,23,0,23,5,7,5,32,18,4,0,24,0
289,11,180,17,262,13,17,11,9,5,16,0,19,14,9,10,30,35,4,1,22,0
290,10,184,42,321,15,20,4,13,4,20,0,51,9,4,6,11,25,4,2,21,0
291,6,163,57,350,14,22,7,7,5,13,0,47,0,3,4,16,26,5,0,20,0
292,7,179,67,380,27,28,3,9,12,11,0,61,1,1,5,5,31,2,0,14,0
293,6,182,56,361,40,23,8,8,10,11,0,47,0,2,9,3,26,3,0,18,0
294,12,183,21,283,21,26,5,10,7,24,0,55,0,6,5,5,21,2,0,17,0
295,21,200,10,289,24,18,5,19,1,31,0,43,0,3,15,12,27,4,0,25,0
296,21,203,17,285,19,21,12,18,1,26,0,48,1,3,25,0,30,4,0,25,0
297,12,169,26,267,15,14,3,16,3,10,0,42,0,4,23,0,23,12,0,27,0
298,10,169,40,313,15,19,12,10,8,16,0,47,2,3,8,7,23,5,0,17,0
299,9,160,40,293,6,20,5,13,3,21,0,45,0,4,11,3,29,6,0,23,0
300,11,177,34,311,29,17,7,10,5,23,0,16,4,3,5,40,36,1,0,17,0
301,8,153,28,268,10,21,3,7,9,19,0,41,1,5,7,9,19,0,0,21,0
302,12,170,26,270,9,21,5,13,9,19,0,35,8,1,11,21,24,0,0,18,0
303,7,167,34,279,7,22,21,10,8,24,0,39,5,1,3,7,33,1,0,19,0
304,7,174,60,341,18,16,3,8,10,22,0,73,1,3,5,5,30,0,0,10,0
305,12,189,37,296,4,17,3,17,5,32,0,59,0,7,11,7,21,3,0,24,0
306,6,168,51,323,16,15,3,10,9,16,0,61,0,5,8,2,22,1,0,22,0
307,9,140,22,234,7,14,5,10,6,13,0,47,1,6,3,5,19,3,0,20,0
308,11,150,30,259,12,24,2,11,3,17,0,36,3,4,8,11,18,2,0,17,0
309,14,175,29,291,11,20,11,8,6,25,0,46,3,2,6,14,28,2,0,21,0
310,13,156,11,231,14,12,7,26,4,4,0,36,1,5,10,4,19,9,0,24,0
311,9,172,34,304,28,24,7,4,5,11,0,52,2,1,9,3,28,1,2,23,0
312,10,146,23,223,16,15,7,7,1,15,0,40,4,6,10,0,22,5,0,20,0
