,Index,Sents,Words,C_W_C,S_C,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,MaxDepth,AVGDepth
21,21,3,182,11,254,9,30,7,12,9,28,0,33,0,1,22,9,17,4,0,18,125.0,66.33
22,22,8,199,10,268,18,24,13,10,13,25,0,41,1,3,17,5,20,6,0,23,48.0,27.38
23,23,6,163,22,264,11,22,7,10,8,15,0,31,3,1,28,1,18,8,0,18,57.0,30.17
24,24,6,172,21,272,18,25,7,10,10,20,0,31,6,4,13,14,22,1,0,13,61.0,32.33
25,25,7,157,16,232,12,16,10,13,6,11,0,21,0,5,24,9,18,11,0,19,31.0,25.0
26,26,6,141,22,229,7,13,9,9,6,12,0,26,6,4,17,1,16,10,0,21,44.0,26.17
27,27,6,174,13,240,17,18,6,10,10,25,0,33,0,7,18,2,19,5,0,23,46.0,32.17
28,28,4,177,13,242,9,23,11,13,9,14,0,33,1,5,27,7,20,6,0,19,65.0,49.25
29,29,9,170,25,258,6,14,4,18,10,13,0,28,0,4,33,2,24,7,0,31,33.0,19.4
30,30,8,173,8,225,4,17,17,13,11,14,0,23,2,3,23,9,27,8,0,29,40.0,25.0
31,31,11,166,8,223,17,20,23,6,8,18,0,26,2,6,20,0,27,2,0,18,40.0,17.55
32,32,7,167,7,215,6,20,15,11,8,17,0,23,0,4,23,7,28,7,0,26,49.0,27.86
33,33,8,200,14,282,16,21,13,19,7,17,1,21,1,9,25,20,29,3,0,27,63.0,28.62
34,34,5,148,22,229,15,19,1,9,7,20,0,34,2,4,14,3,8,3,0,17,39.0,31.2
35,35,8,146,6,196,10,21,6,6,6,24,0,27,0,3,20,4,20,2,0,17,38.0,20.75
36,36,9,153,7,191,4,9,10,9,5,27,0,26,1,8,21,3,34,3,0,27,26.0,17.0
37,37,10,194,4,233,16,14,13,17,11,27,0,34,3,3,22,0,38,6,0,28,58.0,23.2
38,38,13,188,4,222,13,14,14,18,7,15,1,34,1,7,30,1,44,5,0,28,35.0,17.85
39,39,8,149,2,186,6,20,9,8,10,24,0,31,0,1,16,0,21,3,0,21,43.0,21.25
40,40,11,153,5,189,7,23,11,9,8,15,2,21,0,3,26,0,31,5,0,23,34.0,16.73
41,41,6,156,4,199,17,10,18,13,9,15,0,21,0,5,18,0,15,4,0,26,39.0,28.5
42,42,10,146,2,174,10,14,5,14,7,14,0,20,0,3,22,2,20,9,0,26,25.0,16.6
43,43,10,185,8,241,20,20,10,12,11,11,0,28,3,8,27,4,14,9,0,22,36.0,19.9
44,44,10,186,13,271,14,19,6,21,5,22,0,34,0,9,17,5,24,4,0,30,36.0,21.0
45,45,12,153,15,226,11,21,7,9,8,7,0,22,0,8,27,3,21,2,0,28,34.0,14.5
46,46,9,166,7,220,9,22,9,10,7,13,0,21,0,2,36,3,19,7,0,27,36.0,20.56
47,47,8,199,25,317,17,21,7,10,6,33,0,46,2,4,19,4,22,5,0,25,49.0,27.62
48,48,6,159,7,226,10,18,3,8,8,21,0,36,1,5,17,7,26,2,0,23,58.0,30.67
49,49,6,149,12,220,5,26,4,12,4,16,0,26,2,2,19,15,26,3,0,15,47.0,29.17
50,50,6,188,8,242,13,18,21,14,11,17,0,28,0,7,24,0,27,8,0,27,64.0,35.83
51,51,9,174,27,277,16,22,7,13,7,25,0,37,1,6,13,3,14,6,0,18,42.0,20.89
52,52,6,147,20,234,7,16,11,13,6,16,0,24,0,2,16,11,17,2,0,23,39.0,27.33
53,53,8,184,28,293,13,25,10,19,7,16,0,41,3,2,10,14,17,3,0,21,38.0,25.12
54,54,8,157,9,227,8,27,6,7,1,27,0,41,3,3,3,4,18,4,0,23,30.0,21.88
55,55,10,182,11,234,11,17,8,22,8,11,1,22,0,10,37,4,26,7,0,24,30.0,18.91
56,56,7,159,15,227,4,21,16,10,7,19,0,30,2,2,17,1,23,6,0,24,43.0,26.0
57,57,12,195,13,252,15,25,20,13,7,18,1,30,0,6,27,0,33,8,0,25,36.0,19.0
58,58,3,199,15,283,11,26,12,12,9,25,0,38,1,3,26,3,20,9,0,24,107.0,73.0
59,59,6,190,8,246,16,21,9,15,6,22,0,34,2,13,19,3,17,5,0,25,67.0,34.5
60,60,3,162,12,224,1,24,1,6,10,31,0,46,2,4,7,0,18,7,0,23,94.0,60.0
61,61,5,190,11,241,17,21,10,15,12,19,0,37,0,3,26,3,26,8,0,19,71.0,43.2
62,62,4,179,10,232,11,22,13,12,12,21,1,32,1,5,15,0,32,9,0,25,81.0,52.75
63,63,4,167,9,237,7,17,7,10,9,27,0,38,3,3,15,1,18,7,0,23,84.0,46.25
64,64,7,195,16,268,14,16,9,16,7,24,0,36,0,12,18,13,20,5,0,25,65.0,30.71
65,65,11,157,11,222,9,17,8,8,7,15,1,28,1,3,20,9,32,5,0,26,40.0,17.18
66,66,8,184,24,300,20,24,12,11,5,27,0,40,2,1,10,17,23,0,0,15,41.0,25.88
67,67,8,165,13,237,16,15,18,11,6,17,0,34,1,6,9,10,27,5,0,17,44.0,24.0
68,68,12,196,16,286,8,21,13,15,6,21,0,36,0,2,32,6,45,5,0,31,36.0,16.0
69,69,8,197,10,257,24,19,10,15,8,16,3,25,0,9,28,10,53,3,0,27,50.0,27.78
70,70,9,186,11,270,13,21,9,14,6,25,0,30,1,3,18,16,63,2,0,28,124.0,22.64
71,71,4,201,9,273,9,23,11,11,17,27,0,40,1,6,13,12,25,3,0,28,132.0,56.5
72,72,7,196,19,286,10,27,9,13,13,22,1,31,1,6,20,16,36,6,0,21,70.0,33.14
73,73,10,168,4,204,5,19,9,11,4,14,2,19,0,8,26,13,41,5,0,33,35.0,17.42
74,74,11,173,25,268,9,18,29,9,9,17,0,24,1,6,15,5,22,2,0,29,37.0,17.73
75,75,8,179,17,276,20,23,16,14,9,20,0,37,1,0,12,3,16,5,0,19,33.0,24.38
76,76,9,160,10,221,13,14,7,13,9,18,0,31,3,5,19,1,23,6,0,21,55.0,20.33
77,77,6,176,14,261,15,22,13,17,11,15,0,31,1,3,18,1,23,4,0,25,54.0,33.17
78,78,6,163,19,258,15,22,10,8,5,22,0,35,2,5,8,6,16,4,0,21,55.0,29.83
79,79,6,175,17,246,10,26,10,11,5,24,0,36,2,5,18,2,23,4,0,22,65.0,33.0
80,80,8,184,9,231,10,17,13,18,3,17,2,21,0,5,34,9,39,6,0,29,71.0,22.3
81,81,7,171,28,280,9,19,14,10,11,14,0,22,1,5,21,9,23,5,0,31,39.0,27.71
82,82,4,180,20,269,10,24,12,13,7,18,0,36,1,4,20,7,32,3,0,25,102.0,53.0
83,83,8,167,7,235,10,20,14,7,9,20,2,35,2,5,14,6,29,3,0,20,76.0,24.5
84,84,3,144,6,205,20,25,9,5,6,23,0,33,0,0,8,3,18,2,0,10,80.0,54.0
85,85,5,159,8,226,12,24,16,6,9,20,0,38,0,3,13,1,25,2,0,15,61.0,36.8
86,86,5,157,15,233,13,18,12,6,7,16,0,28,1,7,16,12,18,3,0,18,51.0,35.0
87,87,4,172,11,238,18,14,13,5,14,14,0,35,0,4,22,4,29,5,0,24,81.0,50.25
88,88,7,178,10,248,18,21,11,12,9,15,1,29,2,5,25,3,23,6,0,21,62.0,28.71
89,89,9,177,10,238,9,12,10,13,13,8,0,28,0,14,29,6,23,6,0,29,33.0,22.22
90,90,6,162,16,233,12,19,4,18,10,16,0,31,3,5,14,14,21,3,0,13,68.0,30.5
91,91,5,160,19,235,8,19,6,10,11,18,0,33,2,1,25,5,16,4,0,18,64.0,35.2
92,92,5,190,19,281,10,29,13,15,8,27,0,40,0,5,20,3,21,4,0,16,67.0,42.2
93,93,8,192,23,307,15,22,13,13,11,15,0,30,3,6,26,3,21,5,0,30,58.0,26.62
94,94,11,182,11,244,10,25,13,9,10,23,0,36,4,1,19,5,23,5,0,22,34.0,18.64
95,95,10,189,30,285,9,18,11,23,5,20,0,34,1,8,30,1,24,5,0,24,42.0,21.3
96,96,8,154,10,210,9,27,8,7,6,20,0,39,0,0,15,4,21,1,0,18,34.0,19.44
97,97,6,161,7,211,13,20,4,7,6,19,0,32,1,3,26,3,25,5,0,22,50.0,31.0
98,98,10,180,8,244,28,21,15,5,8,19,1,30,2,3,19,1,34,4,0,24,46.0,21.4
99,99,2,143,7,186,3,17,6,7,8,17,0,22,1,4,23,2,19,6,0,27,86.0,81.0
100,100,7,174,15,236,9,15,6,12,5,21,0,31,1,10,26,0,31,8,0,30,66.0,29.29
101,101,7,142,14,213,13,19,6,4,5,18,0,34,2,3,15,0,24,5,0,18,51.0,23.71
102,102,9,169,14,237,12,23,7,10,6,25,0,34,2,6,17,0,19,5,0,22,33.0,20.89
103,103,9,165,11,236,17,12,7,13,11,18,0,25,0,5,23,9,22,5,0,20,38.0,20.78
104,104,10,145,10,194,4,16,7,11,6,13,0,20,2,9,21,11,23,3,0,22,38.0,16.8
105,105,5,145,17,203,13,15,13,9,5,12,0,18,0,7,22,4,17,7,0,20,44.0,32.4
106,106,4,142,6,192,5,18,6,4,12,26,1,32,1,0,8,2,29,4,0,23,66.0,28.5
107,107,6,177,4,233,7,20,9,8,9,24,0,35,1,3,24,1,19,10,0,26,59.0,32.67
108,108,3,148,2,196,11,23,3,3,11,26,0,37,3,0,10,1,15,3,0,17,102.0,54.33
109,109,5,150,8,210,6,16,13,8,15,15,0,29,0,3,19,0,21,5,0,21,52.0,34.2
110,110,9,154,7,197,9,11,12,12,10,12,0,21,3,4,26,6,26,4,0,24,44.0,20.0
111,111,9,177,8,230,13,17,12,8,12,15,0,27,2,8,12,25,23,2,0,24,36.0,22.22
112,112,11,170,6,225,21,15,10,8,11,16,0,29,1,3,24,2,27,4,0,26,35.0,19.7
113,113,10,152,8,210,11,15,10,5,7,19,1,35,0,4,13,7,28,4,0,21,32.0,18.0
114,114,5,178,14,248,14,22,10,7,10,23,0,33,1,3,18,7,28,8,0,22,94.0,41.2
115,115,6,179,20,264,5,18,11,9,9,27,0,41,0,4,16,3,27,8,0,28,65.0,34.33
116,116,7,161,15,234,10,20,5,10,6,20,0,36,0,4,22,6,20,4,0,18,42.0,25.86
117,117,11,200,19,301,21,30,13,15,8,25,0,36,4,3,11,8,35,2,0,24,40.0,21.36
118,118,10,187,18,273,19,23,12,7,6,16,0,44,8,5,16,7,26,2,0,22,40.0,21.3
119,119,9,174,25,274,10,15,10,9,14,20,0,30,0,4,17,14,24,3,0,28,34.0,22.0
120,120,5,162,21,261,9,28,6,10,10,15,0,38,2,3,17,2,15,2,0,20,62.0,35.4
121,121,5,155,7,217,10,19,7,3,7,19,0,29,1,3,19,2,22,7,0,29,69.0,35.4
122,122,6,146,29,246,12,25,5,4,6,23,0,31,2,2,5,15,28,1,0,15,47.0,29.0
123,123,8,176,9,244,12,23,13,2,11,18,1,34,4,7,13,14,35,3,0,21,46.0,23.44
124,124,8,189,17,278,9,24,6,14,13,28,0,41,5,3,11,15,27,2,0,18,39.0,27.0
125,125,12,185,8,252,10,19,9,9,10,26,1,27,1,6,17,7,41,4,0,39,34.0,17.38
126,126,6,173,21,262,12,21,11,17,7,27,0,31,0,2,9,12,22,4,0,20,59.0,32.5
127,127,9,199,22,300,16,29,11,15,7,17,0,33,1,12,15,15,28,6,0,22,52.0,25.22
128,128,8,162,16,238,12,19,6,7,9,14,0,27,2,3,28,8,24,5,0,22,51.0,23.25
129,129,8,171,12,235,14,21,5,8,5,17,0,31,1,6,28,4,22,6,0,25,44.0,24.12
130,130,11,204,14,277,17,26,8,13,3,33,0,37,5,5,18,10,24,5,0,24,50.0,20.73
131,131,8,157,20,236,13,22,9,12,5,16,0,19,0,5,12,23,23,6,0,15,36.0,22.5
132,132,9,177,26,278,8,26,9,8,8,25,0,42,2,6,11,10,20,4,0,18,57.0,21.89
133,133,11,172,21,258,10,19,10,14,8,14,0,27,3,5,20,17,31,6,0,19,43.0,16.92
134,134,10,145,19,235,13,12,11,5,8,15,0,28,2,1,18,0,20,7,0,25,31.0,16.5
135,135,14,195,15,277,11,23,9,16,6,30,0,42,1,4,23,2,28,2,0,26,34.0,15.93
136,136,5,143,6,186,12,22,11,3,10,23,0,32,0,2,10,0,10,1,0,17,45.0,30.6
137,137,5,145,15,214,10,10,8,19,6,17,0,21,1,6,18,6,21,2,0,21,49.0,27.67
138,138,11,169,17,242,13,12,15,12,7,13,1,15,1,8,27,14,35,5,0,26,33.0,15.69
139,139,7,165,21,243,12,18,12,10,8,16,0,26,0,6,21,8,18,4,0,24,40.0,26.14
140,140,8,191,11,258,12,19,10,19,9,17,0,22,2,6,30,14,26,7,0,24,59.0,27.12
141,141,7,185,20,270,13,24,10,12,6,24,0,34,1,4,16,8,17,9,0,24,46.0,28.86
142,142,9,153,18,227,10,15,16,16,6,15,0,26,0,2,21,6,16,3,0,17,34.0,18.78
143,143,9,204,19,286,15,19,8,19,7,11,3,32,1,11,30,12,42,9,0,27,58.0,24.6
144,144,7,199,22,295,8,22,11,12,8,22,1,29,2,9,23,8,41,9,0,35,60.0,26.67
145,145,4,148,15,224,9,18,10,6,10,12,0,26,7,4,10,7,22,6,0,23,99.0,42.5
146,146,8,170,19,249,11,22,7,11,2,21,0,33,2,10,12,7,20,8,0,24,44.0,23.75
147,147,5,201,8,264,9,19,14,14,16,10,2,27,3,4,34,12,45,5,0,32,51.0,30.75
148,148,12,187,21,289,14,17,16,16,10,15,0,27,2,5,23,5,34,11,0,26,39.0,18.42
149,149,3,173,17,261,12,18,7,10,6,15,0,30,0,9,24,6,29,7,0,29,67.0,50.5
150,150,5,148,12,216,11,21,10,8,2,22,0,34,1,4,13,3,15,5,0,14,68.0,32.6
151,151,5,163,15,228,16,18,14,14,8,18,0,26,1,4,21,0,18,5,0,18,65.0,36.2
152,152,11,168,24,264,18,23,8,12,5,18,0,31,0,6,18,5,30,2,0,22,33.0,18.0
153,153,6,151,23,234,10,21,8,10,9,24,0,39,2,1,11,5,20,1,0,10,47.0,28.5
154,154,7,200,19,284,14,25,16,15,10,13,0,29,2,7,33,3,20,8,0,25,45.0,31.43
155,155,13,192,14,269,7,19,16,16,11,19,0,33,1,6,28,2,33,4,0,30,42.0,16.07
156,156,12,173,8,236,3,21,10,10,7,15,1,21,4,5,31,0,31,8,0,37,34.0,17.0
157,157,8,182,14,253,6,21,7,6,11,26,0,38,3,5,20,8,27,3,0,28,54.0,26.12
158,158,7,182,14,260,8,19,10,15,10,27,0,26,1,3,27,8,32,3,0,25,48.0,30.57
159,159,6,175,2,208,15,14,16,11,11,17,3,27,2,4,24,0,34,8,0,23,53.0,34.83
160,160,9,166,16,248,3,17,8,9,12,24,0,33,1,2,18,8,29,4,0,27,44.0,21.67
161,161,11,188,9,259,10,20,12,17,8,14,1,24,2,5,31,15,40,4,0,25,46.0,20.73
162,162,10,175,13,227,7,18,10,4,14,24,1,36,1,4,21,0,31,5,0,30,36.0,20.6
163,163,5,139,8,182,11,18,7,7,7,13,0,17,2,8,16,13,25,1,0,19,62.0,32.8
164,164,5,165,8,212,5,20,8,9,8,18,0,26,1,5,26,2,26,6,0,31,86.0,38.2
165,165,13,199,18,274,10,24,9,12,8,18,0,33,8,4,33,1,32,7,0,32,41.0,17.77
166,166,5,143,22,220,12,14,10,6,9,7,0,24,2,5,20,7,25,3,0,24,68.0,33.6
167,167,9,193,22,278,20,25,18,12,14,17,1,33,0,2,27,0,33,3,0,21,41.0,25.11
168,168,5,155,13,235,19,14,4,6,14,18,0,40,1,1,5,6,18,7,0,20,76.0,34.6
169,169,6,151,7,207,6,13,9,7,5,15,1,26,2,5,21,8,34,8,0,25,49.0,26.43
170,170,9,156,7,209,8,21,4,6,13,19,0,26,1,1,13,11,26,7,0,26,40.0,20.22
171,171,5,164,17,248,17,18,11,5,9,15,0,29,1,4,22,5,24,5,0,23,64.0,37.6
172,172,6,172,17,252,13,24,13,11,10,12,0,30,0,1,28,4,25,8,0,18,47.0,32.83
173,173,10,180,12,255,9,21,16,7,6,15,0,37,6,3,20,5,19,5,0,30,37.0,19.9
174,174,8,188,18,261,11,16,13,12,7,14,0,33,1,8,26,14,23,6,0,27,53.0,26.38
175,175,12,198,5,274,18,23,3,17,4,32,0,48,4,4,10,12,34,2,0,21,31.0,19.33
176,176,7,200,15,280,15,22,7,19,9,24,1,30,0,3,26,17,32,4,0,23,54.0,29.0
177,177,13,171,17,245,14,17,11,10,6,20,2,41,0,4,19,7,52,1,0,19,32.0,13.12
178,178,8,153,14,224,15,16,13,8,4,25,0,30,2,3,12,3,19,3,0,19,38.0,21.5
179,179,5,141,14,216,11,15,3,9,6,19,0,32,1,1,9,9,15,7,0,19,53.0,31.2
180,180,5,177,10,250,16,26,9,1,9,23,0,45,0,1,19,4,24,3,0,21,90.0,40.2
181,181,5,166,2,211,5,19,7,8,10,22,0,32,4,0,21,5,30,4,0,29,69.0,39.2
182,182,9,184,33,295,16,25,8,7,11,17,0,41,3,3,19,5,20,6,0,23,38.0,22.67
183,183,8,188,11,245,16,16,10,8,10,23,1,34,0,7,22,2,43,8,0,31,43.0,25.67
184,184,6,194,11,259,19,14,12,14,11,20,0,34,0,9,27,0,13,10,0,24,57.0,34.5
185,185,10,195,8,248,18,20,18,13,10,22,1,31,0,4,19,8,30,5,0,26,40.0,20.45
186,186,7,171,10,234,18,26,5,12,7,19,0,30,1,4,19,5,21,6,0,19,41.0,27.43
187,187,8,153,4,204,13,20,13,4,8,18,0,25,1,2,20,4,20,5,0,20,35.0,21.62
188,188,8,160,10,207,12,22,4,11,9,21,0,30,1,0,27,0,26,3,0,20,36.0,23.25
189,189,9,179,3,217,7,20,9,11,9,23,0,32,0,3,21,12,29,6,0,26,51.0,23.11
190,190,6,154,9,213,13,18,11,12,7,18,0,29,2,2,15,2,20,5,0,20,34.0,29.0
191,191,7,154,12,209,11,12,7,7,17,15,1,33,0,2,22,1,25,4,0,22,39.0,25.57
192,192,8,188,35,302,15,27,7,8,11,26,0,39,8,2,6,20,31,1,0,18,46.0,27.38
193,193,6,150,12,218,10,16,12,2,8,24,0,36,0,4,12,2,18,2,0,22,47.0,28.0
194,194,7,195,37,322,18,29,13,9,9,17,0,42,2,7,20,5,21,5,0,19,46.0,30.86
195,195,10,181,14,253,6,23,9,9,6,20,4,26,3,5,23,14,56,5,0,28,55.0,21.82
196,196,9,179,16,253,19,25,13,10,11,29,0,35,0,3,14,2,22,2,0,16,36.0,22.33
197,197,5,166,20,253,22,17,9,9,11,8,1,20,0,6,20,10,18,10,0,23,85.0,36.8
198,198,6,167,14,239,8,22,13,5,12,18,0,30,1,3,23,6,23,5,0,21,39.0,31.67
199,199,7,149,5,188,1,10,18,18,10,6,2,14,0,6,29,6,22,6,0,23,39.0,24.43
200,200,5,145,16,210,5,17,14,10,6,9,0,23,2,6,20,2,13,9,0,22,57.0,31.6
201,201,8,170,16,246,9,25,6,6,9,20,0,40,0,3,20,3,25,5,0,24,41.0,24.38
202,202,7,196,13,269,13,30,11,11,8,24,0,43,1,8,15,1,24,6,0,25,50.0,31.43
203,203,8,183,15,259,13,28,10,11,9,28,0,39,1,6,17,0,24,2,0,19,49.0,25.88
204,204,6,147,10,205,13,18,5,4,5,15,0,33,2,7,15,4,17,7,0,19,42.0,27.33
205,205,5,191,16,278,17,28,3,12,15,21,0,43,2,2,19,6,28,4,0,19,84.0,43.8
206,206,8,191,25,280,9,31,13,9,4,19,0,30,3,5,25,12,26,7,0,24,40.0,27.12
207,207,5,158,9,220,12,26,9,9,6,21,1,30,3,1,15,3,18,5,0,17,50.0,29.67
208,208,2,169,28,270,18,27,9,5,15,17,0,35,0,1,20,4,21,5,0,13,102.0,95.0
209,209,8,186,26,303,22,31,10,12,7,12,1,36,3,5,17,9,31,7,0,14,32.0,27.12
210,210,5,146,11,206,6,21,10,6,5,17,0,29,3,4,19,0,15,6,0,20,50.0,32.2
211,211,5,152,17,228,13,25,9,10,14,8,0,21,4,2,23,8,17,2,0,13,60.0,33.8
212,212,7,187,34,306,12,25,8,17,8,23,0,37,1,3,23,3,27,5,0,22,51.0,30.57
213,213,6,187,26,280,12,28,5,13,4,20,0,29,3,5,23,9,19,9,0,27,45.0,34.33
214,214,8,144,7,189,5,21,7,5,7,11,0,23,0,5,24,8,21,5,0,23,39.0,20.62
215,215,9,181,6,211,10,22,10,13,10,9,0,33,2,2,34,5,32,5,0,26,48.0,21.2
216,216,8,163,7,202,6,15,8,6,9,10,0,21,2,3,35,10,28,8,0,30,41.0,21.22
217,217,7,170,14,237,4,25,10,4,11,9,0,27,1,6,24,15,24,4,0,30,46.0,27.71
218,218,5,190,16,249,8,20,8,12,16,14,0,25,3,9,21,21,26,8,0,25,59.0,43.2
219,219,7,178,10,239,13,25,7,9,6,18,0,31,0,5,26,4,19,6,0,28,69.0,28.14
220,220,9,198,19,303,9,22,14,6,14,25,0,34,3,10,15,10,30,2,0,34,50.0,25.33
221,221,12,199,9,280,7,25,12,10,9,15,0,28,4,1,32,19,38,4,0,33,41.0,19.75
222,222,11,191,8,248,11,20,11,7,12,16,1,34,4,4,26,12,40,1,0,32,38.0,21.0
223,223,7,196,15,258,6,23,12,12,13,15,0,34,2,7,29,8,24,6,0,29,39.0,31.43
224,224,6,170,10,231,7,17,8,8,11,20,0,31,1,4,23,6,23,5,0,29,46.0,32.17
225,225,9,150,7,194,6,13,14,10,2,13,0,22,2,8,23,12,23,2,0,23,23.0,19.22
226,226,4,186,16,279,17,28,7,2,12,22,0,34,0,1,20,10,23,7,0,26,61.0,41.8
227,227,19,183,3,218,10,18,6,9,12,23,0,32,2,3,32,5,28,2,1,28,19.0,11.11
228,228,7,201,14,285,29,18,13,15,21,12,0,45,0,2,20,0,25,6,0,20,62.0,32.29
229,229,5,183,15,270,20,23,10,9,9,21,0,36,0,6,18,3,22,5,0,23,66.0,41.0
230,230,4,175,21,259,9,21,12,15,12,14,1,25,0,4,17,14,41,7,0,24,65.0,43.2
231,231,13,205,22,308,8,16,11,23,9,17,0,32,1,10,35,6,46,5,0,32,33.0,17.93
232,232,5,184,13,248,17,19,17,15,10,18,0,20,2,6,24,10,30,9,0,17,66.0,42.8
233,233,13,201,9,261,17,21,19,17,7,15,3,29,2,4,34,8,55,2,0,23,40.0,14.22
234,234,9,193,23,278,15,14,9,22,7,24,0,33,1,7,16,12,20,7,0,26,35.0,23.67
235,235,8,188,11,250,13,22,8,4,8,16,0,31,1,10,25,8,27,5,0,37,53.0,26.88
236,236,9,199,15,292,14,35,6,11,8,33,0,48,6,3,11,0,26,1,0,23,62.0,25.0
237,237,6,161,12,241,13,22,11,13,10,18,0,38,2,3,9,2,28,5,0,15,43.0,31.5
238,238,9,184,20,283,11,31,5,6,9,20,0,42,2,2,11,12,31,5,0,28,49.0,23.89
239,239,7,180,14,260,15,16,16,11,13,11,0,25,2,8,28,5,30,4,0,26,41.0,30.0
240,240,11,163,6,219,10,13,24,10,7,10,0,17,1,1,37,0,43,7,0,26,35.0,18.73
241,241,10,175,12,247,12,24,9,6,8,21,0,33,1,4,25,2,22,2,0,28,33.0,19.7
242,242,11,195,19,274,18,17,21,16,6,18,0,29,0,8,28,6,28,5,0,23,45.0,18.58
243,243,7,163,5,220,4,20,8,8,8,24,1,34,1,3,23,4,24,4,0,21,40.0,20.78
244,244,8,179,20,263,5,12,10,12,9,16,0,29,1,9,32,2,28,9,0,33,51.0,25.88
245,245,8,154,4,191,4,19,7,8,9,16,0,23,8,2,26,2,18,5,0,25,45.0,21.5
246,246,7,167,11,225,14,14,17,7,9,18,0,28,0,5,19,9,28,4,0,23,51.0,24.38
247,247,7,156,2,191,5,16,7,5,9,20,0,24,0,2,28,3,17,7,0,30,31.0,24.71
248,248,10,171,12,242,5,21,12,13,8,18,0,27,1,6,20,4,35,5,0,31,36.0,18.73
249,249,8,157,13,255,16,21,7,8,6,22,0,32,2,3,2,28,21,1,0,9,31.0,22.25
250,250,19,190,37,327,11,22,4,7,2,21,0,16,10,5,11,54,27,0,0,27,28.0,11.42
251,251,11,157,18,244,20,18,11,10,7,10,0,19,3,7,12,16,14,3,0,21,22.0,15.55
252,252,7,199,39,349,18,23,3,9,13,20,0,53,2,5,22,1,21,5,0,25,41.0,31.43
253,253,6,144,48,304,18,14,8,6,9,4,0,69,0,1,2,0,30,1,0,12,39.0,29.0
254,254,9,173,37,304,17,24,5,18,9,8,0,49,3,2,2,14,19,2,1,19,36.0,21.33
255,255,10,162,44,314,17,28,5,12,8,15,0,46,1,6,6,4,25,1,0,13,28.0,18.7
256,256,9,193,44,371,25,20,10,10,9,16,0,46,1,7,6,6,27,6,0,31,36.0,24.44
257,257,12,198,20,308,19,32,12,11,7,22,0,45,5,2,9,4,21,5,3,22,36.0,18.25
258,258,8,157,35,297,15,22,5,8,6,17,0,40,3,0,9,11,15,2,0,19,30.0,21.5
259,259,7,157,33,279,23,21,5,6,1,22,0,44,0,3,8,1,14,4,0,19,33.0,24.43
260,260,7,175,35,302,8,23,11,14,10,22,0,51,0,6,5,0,16,4,0,21,35.0,27.29
261,261,14,153,18,246,8,18,4,11,10,7,0,66,3,1,4,2,33,0,2,17,24.0,13.29
262,262,14,164,32,287,18,15,7,11,6,13,0,54,3,4,7,6,33,0,1,19,38.0,14.07
263,263,8,183,34,324,18,27,1,6,3,36,0,61,3,2,3,1,13,4,0,18,45.0,24.5
264,264,7,184,38,318,15,33,5,7,4,26,0,24,6,1,10,34,23,2,0,17,48.0,29.57
